DDate,AmcCode,AmcName,YardCode,YardName,CommCode,CommName,VarityCode,VarityName,Arrivals,Minimum,Maximum,Model
2016-01-02,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,2.0,4569,4569,4569
2016-01-04,284,Jogipet,1208,Jogipet,14,Bengal Gram,14,Common,1.0,4600,4600,4600
2016-01-13,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,2.0,4629,4629,4629
2016-01-20,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,21.0,4681,4729,4700
2016-01-21,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,5.0,4408,4772,4600
2016-01-22,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,15.0,4650,4669,4650
2016-01-23,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,5.0,4621,4709,4665
2016-01-25,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,13.0,4731,4752,4739
2016-01-27,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,7.0,4222,4733,4723
2016-01-28,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,1.0,4668,4668,4668
2016-01-29,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,19.0,4232,4688,4400
2016-02-02,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,3.0,4479,4479,4479
2016-02-04,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,1.0,4700,4700,4700
2016-02-15,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,31.0,3700,4509,4100
2016-02-16,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,2.0,4000,4000,4000
2016-02-18,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,1.0,3635,3635,3635
2016-02-29,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,4.0,4380,4380,4380
2016-03-02,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,2.0,4102,4118,4110
2016-03-02,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,0.5,3650,3650,3650
2016-03-04,284,Jogipet,1208,Jogipet,14,Bengal Gram,14,Common,1.0,4800,4800,4800
2016-03-19,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,1.0,4505,4505,4505
2016-03-26,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,1.0,4496,4496,4496
2016-03-29,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,300.0,4481,4481,4491
2016-04-01,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,2.0,4611,4611,4611
2016-04-02,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,2.0,4250,4250,4250
2016-04-04,284,Jogipet,1208,Jogipet,14,Bengal Gram,14,Common,1.0,4660,4660,4660
2016-04-04,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,2.0,4652,4652,4652
2016-05-02,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,27.0,4113,4469,4438
2016-05-03,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,5.0,4100,4230,4165
2016-06-02,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,3.0,3806,4489,4200
2016-06-02,290,Siddipet,1193,Siddipet,14,Bengal Gram,14,Common,2.0,3900,3900,3900
2016-07-01,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,2.0,4656,4656,4656
2016-08-01,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,1.0,4406,4606,4506
2016-08-11,284,Jogipet,1208,Jogipet,14,Bengal Gram,14,Common,2.0,6600,6600,6600
2016-09-02,309,Narayanpet,1342,Narayanpet,14,Bengal Gram,14,Common,6.0,3806,3806,3806
